customer_id,region,age,household_size,tenure_months,contract_type,internet_service,monthly_charges,autopay,paperless_billing,streaming_services,support_tickets,late_payments,satisfaction_score,churned
CUST-00001,West,28,5,7,month-to-month,fiber,116.21,1,1,4,4,1,6.3,1
CUST-00002,Midwest,31,3,56,one-year,dsl,93.14,0,1,2,1,0,6.3,0
CUST-00003,Midwest,30,2,48,two-year,fiber,117.0,0,0,4,3,0,6.3,0
CUST-00004,Northeast,76,4,32,one-year,fiber,73.42,1,1,1,0,1,8.3,0
CUST-00005,Northeast,47,2,32,month-to-month,dsl,49.75,1,0,1,1,0,8.9,0
CUST-00006,Midwest,48,3,62,month-to-month,dsl,77.05,0,1,0,0,0,9.5,0
CUST-00007,South,55,3,7,two-year,none,78.71,1,1,3,2,0,7.2,0
CUST-00008,Northeast,27,4,51,two-year,dsl,97.93,1,0,3,0,0,7.5,0
CUST-00009,Northeast,77,1,15,month-to-month,dsl,90.4,1,1,1,4,1,5.8,0
CUST-00010,Midwest,42,2,7,one-year,dsl,74.11,1,0,1,3,0,7.0,0
CUST-00011,West,48,4,38,month-to-month,dsl,65.79,0,1,2,1,0,8.4,0
CUST-00012,Northeast,33,3,71,month-to-month,dsl,103.11,0,0,3,1,2,6.4,0
CUST-00013,Midwest,35,4,53,month-to-month,fiber,94.31,0,1,1,2,1,5.6,1
CUST-00014,South,28,4,55,month-to-month,dsl,73.81,1,0,2,3,1,6.2,0
CUST-00015,West,48,2,52,month-to-month,dsl,59.72,1,1,0,0,1,7.5,0
CUST-00016,Midwest,76,3,57,two-year,fiber,104.75,1,0,4,0,0,8.1,0
CUST-00017,South,19,1,37,month-to-month,dsl,108.35,1,1,4,0,0,7.3,0
CUST-00018,South,44,4,10,month-to-month,dsl,123.99,0,0,3,1,0,6.2,1
CUST-00019,Midwest,41,3,61,month-to-month,fiber,112.65,0,1,4,0,0,8.4,0
CUST-00020,West,59,2,33,month-to-month,fiber,102.39,0,1,3,1,1,7.3,0
CUST-00021,South,62,3,37,month-to-month,fiber,157.13,0,1,4,2,1,5.8,1
CUST-00022,Midwest,71,1,27,one-year,fiber,102.65,1,1,2,2,1,7.8,0
CUST-00023,South,33,3,14,month-to-month,fiber,88.09,1,1,1,0,0,6.4,1
CUST-00024,South,30,5,67,one-year,fiber,116.16,0,1,4,0,0,7.8,0
CUST-00025,Midwest,46,2,57,two-year,fiber,85.12,1,1,0,1,0,8.1,0
CUST-00026,West,25,2,47,month-to-month,fiber,127.3,0,1,2,1,2,7.8,1
CUST-00027,West,46,3,29,two-year,dsl,64.03,1,1,3,0,0,8.0,0
CUST-00028,Northeast,33,2,60,two-year,dsl,103.55,0,1,3,2,0,8.1,0
CUST-00029,West,36,2,40,one-year,fiber,112.8,1,1,3,0,0,7.9,0
CUST-00030,Midwest,60,3,32,one-year,fiber,95.27,0,1,2,2,0,7.8,0
CUST-00031,South,26,4,33,one-year,fiber,125.47,0,1,4,0,1,9.5,0
CUST-00032,South,40,2,17,one-year,fiber,92.28,1,1,1,1,0,7.0,0
CUST-00033,Midwest,58,2,7,one-year,fiber,82.41,0,0,0,0,1,8.1,0
CUST-00034,South,47,4,40,month-to-month,fiber,104.51,1,0,3,1,1,7.8,0
CUST-00035,South,69,3,64,two-year,fiber,100.16,0,0,1,1,0,6.5,0
CUST-00036,Midwest,19,2,5,one-year,none,59.98,1,1,2,1,0,8.3,0
CUST-00037,Midwest,42,5,62,one-year,fiber,136.55,0,1,2,0,1,7.4,0
CUST-00038,West,18,5,60,month-to-month,dsl,95.77,1,0,1,2,1,6.0,1
CUST-00039,West,21,5,20,month-to-month,fiber,125.03,1,1,4,0,0,7.7,0
CUST-00040,South,42,2,46,month-to-month,fiber,87.35,1,1,1,3,1,5.8,0
CUST-00041,Northeast,33,5,12,month-to-month,none,100.81,0,1,3,0,0,8.6,0
CUST-00042,West,27,2,55,month-to-month,fiber,105.33,1,0,0,1,0,7.5,0
CUST-00043,West,75,1,51,month-to-month,dsl,99.59,0,0,4,0,0,9.9,0
CUST-00044,Midwest,65,3,26,month-to-month,none,75.47,1,0,4,1,0,7.1,0
CUST-00045,Midwest,44,5,5,month-to-month,dsl,75.93,1,1,0,1,0,8.0,0
CUST-00046,South,75,1,70,month-to-month,fiber,143.29,1,0,3,3,1,6.1,1
CUST-00047,Midwest,23,1,33,two-year,dsl,87.92,1,0,2,1,0,6.8,0
CUST-00048,Midwest,73,1,65,month-to-month,fiber,87.88,0,1,0,1,1,8.5,0
CUST-00049,South,70,5,49,month-to-month,fiber,107.93,0,1,3,0,0,8.0,0
CUST-00050,Midwest,45,2,57,month-to-month,fiber,120.58,0,0,3,0,0,7.1,0
CUST-00051,South,60,3,55,month-to-month,none,80.32,1,1,4,1,0,7.9,0
CUST-00052,Midwest,35,1,15,month-to-month,dsl,85.13,0,0,3,3,0,7.1,1
CUST-00053,Northeast,75,5,27,one-year,fiber,118.92,1,1,3,1,0,7.1,0
CUST-00054,Northeast,47,4,34,two-year,fiber,124.62,1,1,3,2,0,7.4,0
CUST-00055,Midwest,31,3,36,month-to-month,dsl,128.97,1,0,3,1,0,8.5,0
CUST-00056,West,24,5,4,one-year,none,83.39,0,0,2,1,0,7.8,0
CUST-00057,Midwest,59,2,40,month-to-month,fiber,117.06,0,1,3,0,0,8.3,0
CUST-00058,West,74,3,12,month-to-month,fiber,95.09,0,1,0,0,0,7.6,1
CUST-00059,West,59,5,54,month-to-month,dsl,76.63,1,0,3,4,0,4.5,0
CUST-00060,West,58,3,50,month-to-month,none,75.2,0,1,1,0,0,7.6,0
CUST-00061,West,65,2,67,one-year,none,92.18,0,0,2,1,0,7.1,0
CUST-00062,West,35,4,54,one-year,fiber,120.72,0,1,3,1,0,7.6,0
CUST-00063,West,38,5,27,one-year,fiber,114.53,1,1,0,2,0,6.9,0
CUST-00064,South,63,1,70,month-to-month,fiber,98.81,1,1,3,3,0,6.6,0
CUST-00065,South,56,5,30,one-year,fiber,88.94,0,1,1,2,1,6.5,0
CUST-00066,South,32,3,24,month-to-month,none,75.9,0,1,3,2,0,7.5,1
CUST-00067,Midwest,21,1,66,month-to-month,fiber,89.21,1,0,3,1,0,8.1,0
CUST-00068,Midwest,63,5,27,month-to-month,dsl,83.5,0,1,0,0,1,6.8,0
CUST-00069,Midwest,69,3,6,one-year,none,84.69,1,0,1,2,0,8.5,0
CUST-00070,Northeast,42,2,34,two-year,none,102.49,1,1,4,0,1,7.5,0
CUST-00071,South,67,1,58,month-to-month,dsl,88.8,1,1,1,0,1,6.8,1
CUST-00072,Midwest,69,1,14,one-year,none,97.24,1,0,2,1,0,8.8,0
CUST-00073,Northeast,60,3,34,one-year,fiber,97.82,1,1,0,1,0,7.4,0
CUST-00074,Northeast,77,2,10,one-year,fiber,111.32,0,1,3,0,0,8.3,0
CUST-00075,West,76,2,50,month-to-month,fiber,49.53,1,1,0,0,1,6.7,0
CUST-00076,West,37,3,35,one-year,none,59.29,0,1,1,0,0,7.9,0
CUST-00077,Midwest,71,5,24,one-year,none,73.24,1,1,2,4,0,6.1,0
CUST-00078,Northeast,51,5,17,two-year,fiber,112.46,1,0,3,3,2,5.9,0
CUST-00079,South,40,1,41,month-to-month,fiber,105.71,0,1,2,1,0,6.8,0
CUST-00080,West,32,2,49,two-year,fiber,108.8,1,1,4,0,0,8.5,0
CUST-00081,Midwest,59,2,68,month-to-month,fiber,86.44,0,0,2,1,0,8.2,0
CUST-00082,Northeast,66,2,32,two-year,dsl,69.46,0,1,1,1,2,6.3,1
CUST-00083,Northeast,30,5,12,month-to-month,fiber,90.94,1,1,0,2,0,4.7,0
CUST-00084,West,47,2,60,month-to-month,dsl,112.84,1,0,3,1,3,7.9,0
