customer_id,region,age,household_size,tenure_months,contract_type,internet_service,monthly_charges,autopay,paperless_billing,streaming_services,support_tickets,late_payments,satisfaction_score,churned,predicted_churn_probability,revenue_at_risk
CUST-00001,West,28,5,7,month-to-month,fiber,116.21,1,1,4,4,1,6.3,1,0.8938604247549743,103.87551996077556
CUST-00002,Midwest,31,3,56,one-year,dsl,93.14,0,1,2,1,0,6.3,0,0.22196931754268817,20.674222235925978
CUST-00003,Midwest,30,2,48,two-year,fiber,117.0,0,0,4,3,0,6.3,0,0.3608756890922611,42.222455623794545
CUST-00004,Northeast,76,4,32,one-year,fiber,73.42,1,1,1,0,1,8.3,0,0.15347491856933163,11.268128521360328
CUST-00005,Northeast,47,2,32,month-to-month,dsl,49.75,1,0,1,1,0,8.9,0,0.19955976000455636,9.928098060226679
CUST-00006,Midwest,48,3,62,month-to-month,dsl,77.05,0,1,0,0,0,9.5,0,0.18394316765169222,14.172821067562884
CUST-00007,South,55,3,7,two-year,none,78.71,1,1,3,2,0,7.2,0,0.20252927956029196,15.94107959419058
CUST-00008,Northeast,27,4,51,two-year,dsl,97.93,1,0,3,0,0,7.5,0,0.04546233915047706,4.452126873006219
CUST-00009,Northeast,77,1,15,month-to-month,dsl,90.4,1,1,1,4,1,5.8,0,0.8496457270485362,76.80797372518768
CUST-00010,Midwest,42,2,7,one-year,dsl,74.11,1,0,1,3,0,7.0,0,0.30461415331383523,22.57495490208833
CUST-00011,West,48,4,38,month-to-month,dsl,65.79,0,1,2,1,0,8.4,0,0.375856846459196,24.727621928550505
CUST-00012,Northeast,33,3,71,month-to-month,dsl,103.11,0,0,3,1,2,6.4,0,0.5977054876423249,61.62941283080012
CUST-00013,Midwest,35,4,53,month-to-month,fiber,94.31,0,1,1,2,1,5.6,1,0.8072269404685093,76.12957275558512
CUST-00014,South,28,4,55,month-to-month,dsl,73.81,1,0,2,3,1,6.2,0,0.5646132425113519,41.67410342976289
CUST-00015,West,48,2,52,month-to-month,dsl,59.72,1,1,0,0,1,7.5,0,0.2907492365150148,17.36354440467668
CUST-00016,Midwest,76,3,57,two-year,fiber,104.75,1,0,4,0,0,8.1,0,0.06160196535337324,6.452805870765847
CUST-00017,South,19,1,37,month-to-month,dsl,108.35,1,1,4,0,0,7.3,0,0.37665604323009394,40.810682283980675
CUST-00018,South,44,4,10,month-to-month,dsl,123.99,0,0,3,1,0,6.2,1,0.7761970551485106,96.24067286786382
CUST-00019,Midwest,41,3,61,month-to-month,fiber,112.65,0,1,4,0,0,8.4,0,0.39110859584780794,44.058383322255565
CUST-00020,West,59,2,33,month-to-month,fiber,102.39,0,1,3,1,1,7.3,0,0.7496122475283604,76.75279802442883
CUST-00021,South,62,3,37,month-to-month,fiber,157.13,0,1,4,2,1,5.8,1,0.9110724166952626,143.15680883532661
CUST-00022,Midwest,71,1,27,one-year,fiber,102.65,1,1,2,2,1,7.8,0,0.36118063590462335,37.07519227560959
CUST-00023,South,33,3,14,month-to-month,fiber,88.09,1,1,1,0,0,6.4,1,0.6242458097148403,54.98981337778029
CUST-00024,South,30,5,67,one-year,fiber,116.16,0,1,4,0,0,7.8,0,0.15917660132867226,18.48995401033857
CUST-00025,Midwest,46,2,57,two-year,fiber,85.12,1,1,0,1,0,8.1,0,0.07367553736796752,6.271261740761395
CUST-00026,West,25,2,47,month-to-month,fiber,127.3,0,1,2,1,2,7.8,1,0.7555354288111491,96.17966008765927
CUST-00027,West,46,3,29,two-year,dsl,64.03,1,1,3,0,0,8.0,0,0.055332988447424146,3.542971250288568
CUST-00028,Northeast,33,2,60,two-year,dsl,103.55,0,1,3,2,0,8.1,0,0.10482213325419222,10.854331898471605
